X,Y,NAME,ADDRESS,BOROUGH,FACILITY_TYPE,LOCATION_INFO,APPOINTMENT_ONLY,OPERATIONS_MON,OPERATIONS_TUE,OPERATIONS_WED,OPERATIONS_THUR,OPERATIONS_FRI,OPERATIONS_SAT,OPERATIONS_SUN,ADDITIONAL_INFO,APPOINTMENT_INFO,PHONE,URL,START_DATE
1007533,234456,"NYC Health + Hospitals/Gotham Health, Belvis",545 East 142 Street,2,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,718-579-4000,https://www.nychealthandhospitals.org/belvis/,2020-05-23
1006286,243989,"NYC Health + Hospitals/Gotham Health, Morrisania",1225 Gerard Avenue,2,H+H community site,,N,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,,,718-960-2781,https://www.nychealthandhospitals.org/morrisania/,2020-05-23
1026683,250984,NYC Health + Hospitals/Jacobi,1400 Pelham Parkway South,2,H+H hospital,,N,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,,,,718-918-5000,https://www.nychealthandhospitals.org/jacobi/,2020-05-23
1005154,236853,NYC Health + Hospitals/Lincoln,234 East 149th Street,2,H+H hospital,,N,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 4:00 PM,,,,718-579-5000,https://www.nychealthandhospitals.org/lincoln/,2020-05-23
1017133,260085,NYC Health + Hospitals/North Central Bronx,3424 Kossuth Avenue,2,H+H hospital,,N,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,,Appointments: 844-692-4692,718-918-5700,https://www.nychealthandhospitals.org/northcentralbronx/,2020-05-23
,,One Medical: Bronx,800 Exterior Street,2,One Medical,South of Harlem River lot,Y,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Walk-up only,Schedule an appointment online at https://www.onemedical.com/covid-19-testing-locations/nyc/ or via phone at 888-663-6331,888-663-6331,https://www.onemedical.com/covid-19-testing-locations/nyc/,2020-05-23
,,Midwood Pre-K,1223 Coney Island Avenue,3,H+H community site,,N,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,,,,2020-05-23
990678,192666,"NYC Health + Hospitals/Gotham Health, Cumberland",100 North Portland Avenue,3,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,718-388-5889,https://www.nychealthandhospitals.org/cumberland/,2020-05-23
1013333,183983,"NYC Health + Hospitals/Gotham Health, East New York",2094 Pitkin Av,3,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,718-388-5889,https://www.nychealthandhospitals.org/eastnewyork/,2020-05-23
995242,197260,"NYC Health + Hospitals/Gotham Health, Jonathan Williams Houses",333 Roebling Street,3,H+H community site,,N,9:00AM - 3:30 PM,9:00AM - 3:30 PM,9:00AM - 3:30 PM,9:00AM - 3:30 PM,9:00AM - 3:30 PM,9:00AM - 3:30 PM,,,,,,2020-05-23
